主題,媒體,時間,金額,執行單位,行政部會,備註
年節國產漁貨禮盒推廣,報紙(中時、聯合),1月29、31日,317000.0,農委會,農委會,
調整耕作制度 活化農地,雜誌(豐年、鄉間小路),1~2月,300000.0,農委會,農委會,
調整耕作制度 活化農地,電視(年代、東森、中天、三立、TVBS、民視、八大、華視、中視、台視等),1~2月,6129520.0,農委會,農委會,
2013「花東花海行農遊GO幸福」,報紙(蘋果、聯晚、自由時報),1月,794300.0,農委會,農委會,
2013「花東花海行農遊GO幸福」,雜誌(Taipei Walker、7-Watch2次),2月,359863.0,農委會,農委會,
2013「花東花海行農遊GO幸福」,廣播(好事聯播網、飛碟聯播網-上班組合),2月,24118.0,農委會,農委會,
2013「花東花海行農遊GO幸福」,電視(GTV八大綜合台),2月,0.0,農委會,農委會,回饋項目
2013「花東花海行農遊GO幸福」,網路(Yahoo精選組合、聯合新聞網、Google banner),1、2月,244964.0,農委會,農委會,回饋項目
認證農場推廣,報紙(爽報、聯合報平面消息稿廣告),2月,117253.0,農委會,農委會,回饋項目
認證農場推廣,雜誌(To Go泛遊雜誌、TVBS週刊),2~3月,117600.0,農委會,農委會,回饋項目
認證農場推廣,網路(文字訊息廣告),2月,0.0,農委會,農委會,回饋項目
伴手禮、田媽媽,雜誌(親子天下、食尚玩家),3月,176150.0,農委會,農委會,回饋項目
植樹月活動-種出好森活,報紙(臺時、聯晚),2月27日、3月7日,118930.0,農委會,農委會,回饋項目
植樹月活動-種出好森活,網路(文字訊息廣告),3月,0.0,農委會,農委會,回饋項目
自然保育推手,報紙(中時),3月15日,294000.0,農委會,農委會,回饋項目
「全民農業廣播媒體宣導」(老農津貼不會取消、植樹月推廣、口蹄疫疫苗施打、產銷履歷宣導),廣播(警廣),3月,128000.0,農委會,農委會,回饋項目
防範森林火災宣導,報紙(台灣時報、台灣新生報、中華日報、聯合報、更生日報、東方報、聯統日報),1~3月,140330.0,林務局,農委會,回饋項目
防範森林火災宣導,廣播（警察、正聲、中國、台東之聲、東台灣）,1~3月,335000.0,林務局,農委會,回饋項目
