主題,媒體,民國年,時間,金額,執行單位,行政部會,備註
花東農遊趣,報紙(自由),102,7~9月,404000,農委會,農委會,
花東農遊趣,電視30秒廣告託播(東森、TVBS、年代、三立、緯來等),102,7~9月,184800,農委會,農委會,
花東農遊趣,網路(Google聯播網Banner連結、FB廣告連結),102,7~9月,0,農委會,農委會,
花東農遊趣,雜誌(行遍天下及抽印單行本5萬份),102,7月,775660,農委會,農委會,
全國招牌飯票選活動,電視30秒廣告託播(東森、JET、緯來、東風、國興等),102,7~9月,206900,農委會,農委會,
全國招牌飯票選活動,網路(Youtube影片推薦、Google關鍵字、Google聯播網Banner連結),102,7~9月,0,農委會,農委會,
狂犬病宣導,報紙(中時、自由、聯合、蘋果、聯晚、臺時、中華、更生),102,7~9月,1570730,農委會,農委會,
狂犬病宣導,電視30秒廣告、5秒插播卡託播(東森、TVBS、年代、三立、衛視、非凡、台視、中天等),102,7~9月,1625000,農委會,農委會,
狂犬病宣導,廣播30秒廣告製播(大台北台廣、南台灣套裝、飛碟聯播網、鄉親大聯盟)；電台口播(大樹下、嘉義北回、南投山城等電台),102,7~9月,229400,農委會,農委會,
狂犬病宣導,雜誌(今周刊),102,7~9月,159750,農委會,農委會,
狂犬病宣導,網路(Newtalk新頭殼、短片製作),102,7~9月,200800,農委會,農委會,
小花蔓澤蘭日,報紙(中國時報、民眾日報),102,9月  ,1259283,農委會,農委會,
小花蔓澤蘭日,雜誌(豐年),102,9月  ,0,農委會,農委會,
農業旅遊形象行銷及推廣,電視30秒廣告託播(華視、緯來、東森、壹電視、超視、台視財經、GTV八大戲劇台、GTV八大娛樂K台等),102,9月,61500,農委會,農委會,
農業旅遊形象行銷及推廣,電視15秒廣告託播(台視、民視、東森新聞、年代新聞、非凡新聞、三立臺灣台、三立都會台、八大綜合台、旅遊生活、FOX體育等),102,9月,1210000,農委會,農委會,
農業旅遊形象行銷及推廣,網路(Youtube影片推薦、FB廣告連結、八大官網Banner、Yahoo!奇摩Banner),102,9月,200000,農委會,農委會,
生態電影節,電視30秒廣告託播(東森、TVBS、緯來、三立、超視等)、10秒插播卡,102,9月,160500,農委會,農委會,
生態電影節,報紙(人間福報、不指定報紙文字訊息廣告),102,9月,87940,農委會,農委會,
生態電影節,雜誌(時報週刊、康健),102,9月,201285,農委會,農委會,
生態電影節,網路(短片製作、民視新聞Banner、不指定12字文字連結、部落格推文、民視會員電子報),102,9月,97711,農委會,農委會,
生態電影節,廣播3分鐘專輯(濁水溪、燕聲、新雲林之聲電台),102,9月,156350,農委會,農委會,
102年水土保持及農村再生作文、繪畫、教材教案設計競賽,雜誌(7-Watch、大家說英語),102,7~9月,201283,農委會,農委會,
102年水土保持及農村再生作文、繪畫、教材教案設計競賽,廣播(亞洲廣播網),102,7~9月,72300,農委會,農委會,
102年水土保持及農村再生作文、繪畫、教材教案設計競賽,網路(不指定12字文字連結、民視新聞網Banner、民視會員電子報),102,7~9月,0,農委會,農委會,
土石流防災宣導,網路(不指定12字文字連結、民視新聞網Banner),102,7~8月,0,農委會,農委會,
土石流防災宣導,電視(民視氣象小叮嚀),102,7~8月,0,農委會,農委會,
產銷履歷,雜誌(嬰兒與母親),102,9月,56184,農委會,農委會,
產銷履歷「小舖師」料理王網路活動,報紙(Upaper、更生、自由、聯合生活週報、不指定報紙文字訊息廣告),102,9月,273520,農委會,農委會,
產銷履歷「小舖師」料理王網路活動,雜誌(不指定雜誌文字訊息廣告),102,9月,0,農委會,農委會,
產銷履歷「小舖師」料理王網路活動,網路(不指定網路文字訊息廣告、民視會員電子報、八大官網Banner),102,9月,0,農委會,農委會,
產銷履歷「小舖師」料理王網路活動,廣播60秒廣播製播(南投省都、彰化靉友),102,9月,51750,農委會,農委會,
獎勵水產院校畢業生上漁船服務,廣播(亞洲廣播網),102,7月,36150,農委會,農委會,
農村地圖便利站,雜誌(中華日報特刊),102,7月,40200,農委會,農委會,
田媽媽打卡加油讚,報紙(經濟日報、工商時報),102,7~8月,154360,農委會,農委會,
田媽媽打卡加油讚,雜誌(新新聞),102,8月,53850,農委會,農委會,
田媽媽打卡加油讚,網路(Nownews、八大官網Banner),102,8~9月,160500,農委會,農委會,
田媽媽打卡加油讚,廣播(口播),102,7月,0,農委會,農委會,
海峽兩岸服務貿易協議-農業政策,廣播(口播),102,7月,0,農委會,農委會,
海峽兩岸服務貿易協議-農業政策,網路(八大官網Banner、100-500字網路廣編稿),102,7月,0,農委會,農委會,
自由經濟示範區-農業加值,雜誌(今周刊3頁廣編特輯),102,9月,199950,農委會,農委會,
APEC強化公私部門夥伴關係降低供應鏈之糧食損失計畫,雜誌(遠見雜誌2頁廣編特輯),102,9月,228340,農委會,農委會,
食材旅行,報紙(中時),102,9月,16400,農委會,農委會,
食材旅行,網路(Google、八大官網Banner),102,9~10月,142140,農委會,農委會,
「N個理由到農村」網路圖文徵件活動,廣播(好事聯播網),102,8月,0,農委會,農委會,
全民農業廣播媒體宣導:13.臺灣地方特色招牌飯票選活動、14.田媽媽打卡加油讚、15.臺灣國際生物科技大展~農業科技主題館、16.「森林『讚』出來」系列活動、17.狂犬病宣導、18.自經區宣導、19.臺灣十大地景票選活動、20.防範小花蔓澤蘭、22.產銷履歷小舖師料理王,廣播(警察廣播電台),102,7~9月,288000,農委會,農委會,
2013農業科技產業好點子競賽,網路(數位時代eDM及首頁Banner、粉絲團：數位時代、數位行銷學院、臺大學生資訊交流平台、臺大創聯會及臺大學生職業生涯發展中心),102,5~9月,280000,農委會,農委會,
2013台北國際發明暨技術交易展農業館,報紙(經濟日報、經濟日報發明展專刊),102,9月,44950,農委會,農委會,
通過服務品質認證休閒農場主題性報導,雜誌(Taipei Walker),102,6~9月,400000,農委會,農委會,
哈囉!小鴨 跟著秋天去旅行--農業好伴手 高雄攜遊記,雜誌(食尚玩家),102,9月,70000,農委會,農委會,
產銷履歷介紹及行銷活動推廣,雜誌(康健雜誌),102,8月,300000,農委會,農委會,
產銷履歷介紹及行銷活動推廣,網站(康健網站首頁、頻道頁黃金圖文及文章頁活動看板),102,8~9月,0,農委會,農委會,
產銷履歷介紹及行銷活動推廣,廣播(好事聯播網、愛樂聯播網、大千電台、HITFM聯播、飛碟聯播網),102,8~9月,300000,農委會,農委會,
產銷履歷介紹及行銷活動推廣,報紙(Upaper半頁),102,8~9月,52800,農委會,農委會,
自由經濟示範區相關宣導,雜誌（農政與農情）,102,9月,0,農委會,農委會,
國產鮮乳推廣/冰淇淋達人創意競賽級成國發表,報紙(工商時報、經濟日報),102,8~9月,100000,農委會,農委會,
國產鮮乳推廣/冰淇淋達人創意競賽級成國發表,網路(中時電子報、聯合新聞網、MSN新聞、新浪新聞、中廣news、奇摩新聞、大紀元電子日報、欣新聞、NowNews、ETtoday東森新聞雲、新浪全球新聞、match生活網、蕃薯藤新聞),102,8~9月,0,農委會,農委會,
國產羊乳廣宣行銷,電視(華視、TVBS家族、非凡家族、東森家族、三立家族),102,9月,900000,農委會,農委會,
國產羊乳廣宣行銷,廣播(台中廣播電台、指南廣播電台、陽光廣播電台、南方之音廣播電台等),102,9月,0,農委會,農委會,
推動有機畜產品驗證及管理計畫/介紹通過有機畜產品驗證之業者或產品,雜誌(康健雜誌-身體百科),102,9月,150000,財團法人中央畜產會,農委會,
農業伴手讚一夏 逗陣遊台消暑行,報紙(自由週報),102,8月,240000,財團法人台灣優良農產品發展協會,農委會,
農業好伴手 高雄攜遊記,雜誌(食尚玩家),102,9月,70000,財團法人台灣優良農產品發展協會,農委會,
自然生態保育宣導,雜誌(主計月刊、未來少年),102,7~9月,121900,林務局,農委會,
自然教育與生態旅遊宣導,廣播(中國、正聲、好事聯播網）,102,7~9月,158500,林務局,農委會,
移除、防治外來植物宣導,報紙(中華日報、新生報),102,2013-09-05 00:00:00,30000,林務局,農委會,
狂犬病宣導,報紙(台灣時報),102,8月,15000,林務局,農委會,
狂犬病宣導,雜誌(中央社全球視野雜誌）,102,9月,30000,林務局,農委會,
林業相關宣導（網路官網連結）,廣播(正聲）,102,7~9月,30000,林務局,農委會,
