主題,媒體,時間,金額,執行單位,行政部會,備註
產銷履歷宣導活動,網路(影片製作1組),11月,97711,農委會,農委會,
產銷履歷宣導活動,報紙(爽報、Upaper),10月、12月,200783,農委會,農委會,
產銷履歷宣導活動,雜誌(嬰兒與母親、商業周刊、遠見、康健),11-12月,380657,農委會,農委會,
認養代替購買,報紙(U-paper),2014-12-06 00:00:00,41632,農委會,農委會,
認養代替購買,雜誌(時報周刊、財訊、CHEERS快樂工作人),12月,267974,農委會,農委會,
認養代替購買,網站(不指定部落客廣告推文),12月,0,農委會,農委會,
生態電影節系列活動,網路(影片製作2組、不指定文字訊息廣告、市場快訊文字廣告連結、不指定部落客廣告推文、民視會員電子報),10月,195422,農委會,農委會,
生態電影節系列活動,報紙(聯合報、蘋果日報、人間福報、不指定報紙文字訊息廣告),2014-10-17 00:00:00,602940,農委會,農委會,
生態電影節系列活動,雜誌(時報周刊、SMART智富月刊、大家說英語、康健雜誌、空中英語教室、卓越雜誌),10-11月,584509,農委會,農委會,
生態電影節系列活動,廣播(農家精選),10-11月,156350,農委會,農委會,
主動申報動植物產品,報紙(金門日報),2014-12-08 00:00:00,42993,農委會,農委會,
寵物登記 限期免費,報紙(中國時報、自由時報、聯合晚報、經濟日報、工商時報),10月,590445,農委會,農委會,
寵物登記 限期免費,雜誌(今周刊、新新聞周刊、壹週刊),10月,217314,農委會,農委會,
寵物登記 限期免費,網路(Yahoo全民經濟專案),10月,210700,農委會,農委會,
宣導犬貓注射狂犬病疫苗-103年1月起將加強稽查,報紙(中國時報、聯合報、蘋果日報、聯合晚報、台灣時報、中華日報、U-paper),2014-11-29 00:00:00,708012,農委會,農委會,
宣導犬貓注射狂犬病疫苗-103年1月起將加強稽查,雜誌(SMART智富月刊、天下雜誌、壹週刊-A本政經、新新聞、商周),12月,517156,農委會,農委會,
宣導犬貓注射狂犬病疫苗-103年1月起將加強稽查,廣播30秒廣告製播(北台灣之聲、好事聯播網、農林漁牧專區、嘉義北回、高屏下港、花蓮蓮友),11月,361426,農委會,農委會,
宣導犬貓注射狂犬病疫苗-103年1月起將加強稽查,網路(Ettoday-新聞精選組合、專題短片製作),12月,160500,農委會,農委會,
文旦柚果醬果茶,雜誌(長春月刊、康健雜誌、鄉間小路、平面設計、食尚玩家、不指定雜誌文字訊息廣告),11-12月,317647,農委會,農委會,
文旦柚果醬果茶,報紙(不指定報紙文字訊息廣告),2014-11-30 00:00:00,0,農委會,農委會,
文旦柚果醬果茶,報紙(不指定報紙三全刊登),12月,0,農委會,農委會,
文旦柚果醬果茶,網路(不指定文字訊息廣告、不指定部落客廣告推文),11月,0,農委會,農委會,
水土保持作文繪畫比賽得獎公布,雜誌(遠見雜誌、不指定文字訊息廣告),12月,129956,農委會,農委會,
水土保持作文繪畫比賽得獎公布,報紙(不指定報紙三全刊登、不指定文字訊息廣告),11-12月,0,農委會,農委會,
水土保持作文繪畫比賽得獎公布,網路(不指定文字訊息廣告),11月,0,農委會,農委會,
水土保持再生資源教育網宣傳,雜誌(鄉間小路),12月,48856,農委會,農委會,
水土保持再生資源教育網宣傳,網路(民視新聞網BANNER),11-12月,0,農委會,農委會,
農村好讚APP,雜誌(數位時代),11月,117632,農委會,農委會,
防範禽流感宣導,廣播30秒製播(新農民聯盟),11-12月,64976,農委會,農委會,
