主題,媒體,民國年,時間,金額,執行單位,行政部會,備註
101年全國職場安全週,平面媒體：自由時報,101,7/4,93500,安衛處,勞動部,"露出次數：1
季：第三季"
從育才、攬才、留才談勞動部願景座談會-各界賢達建言意見,平面媒體：聯合晚報,101,8/1,166731,綜規處,勞動部,"露出次數：1
季：第三季"
企業有福利，托兒真安心,廣播媒體：中廣新聞網、飛碟聯播網、台灣廣播、飛揚電台、建國電台、台中調頻、國聲電台、好事935、鳳鳴電台、台南之音、燕聲電台,101,9/27-10/16,3750000,福利處,勞動部,"露出次數：946
季：第三季
專案：「政令宣導電台廣告案」(含製播)"
育嬰有津貼，工作好友善,廣播媒體：中廣新聞網、好事989、正聲電台、好事903、建國電台、高雄港都、國聲電台、好事935,101,9/27-10/11,0,保險處,勞動部,"露出次數：436
季：第三季
專案：「政令宣導電台廣告案」(含製播)"
天然災害，勞工權益，服務資源不可少,廣播媒體：台灣廣播、飛碟電台、建國電台、飛揚電台、國聲電台、台中調頻、勝利之聲、好事935、府城之聲,101,9/27-10/16,0,條件處,勞動部,"露出次數：650
季：第三季
專案：「政令宣導電台廣告案」(含製播)"
就業保險之失業給付相關宣導,平面媒體：中國時報、自由時報,101,10/11,2447000,勞保處,勞動部,"露出次數：2
季：第四季
專案：「報紙宣導案」"
性別平等暨友善員工專題連載,平面媒體：時報周刊,101,10/5、10/12、  10/26,1000000,福利處,勞動部,"露出次數：3
季：第四季
專案：連載計畫"
失業勞工子就學，政府補助助希望,廣播媒體：港都廣播電臺,101,10/22-10/31,1150000,福利處,勞動部,"露出次數：5
季：第四季
專案：「地方電台廣告宣導案」"
創業計劃自己來，不必冤枉找代辦,廣播媒體：警廣、好事989、飛揚電台、大苗栗電台、好事903、全國電台、台南之音、好事935,101,10/8-10/22,0,福利處,勞動部,"露出次數：85
季：第四季
專案：「政令宣導電台廣告案」(含製播)"
創業計劃自己來，不必冤枉找代辦,廣播媒體：城市廣播電臺,101,10/22-10/31,0,福利處,勞動部,"露出次數：5
季：第四季
專案：「地方電台廣告宣導案」"
企業有福利，托兒真安心,廣播媒體：正聲台中廣播電臺台、正聲臺北調頻廣播電台)、竹科廣播、港都廣播電臺、歡樂廣播,101,10/22-11/2,0,福利處,勞動部,"露出次數：53
季：第四季
專案：「地方電台廣告宣導案」"
失業勞工子女就學，政府補助助希望,廣播媒體：鳳鳴電台、POP、台灣廣播、Hit FM、建國電台、大苗栗廣播、勝利之聲、南投廣播、歡樂電台、好事935、府城之聲、快樂電台,101,10/5-11/3,0,條件處,勞動部,"露出次數：230
季：第四季
專案：「政令宣導電台廣告案」(含製播)"
天然災害，勞工權益，服務資源不可少,廣播媒體：正聲臺北調頻廣播電台,101,10/20-10/31,0,條件處,勞動部,"露出次數：9
季：第四季
專案：「地方電台廣告宣導案」"
育嬰有津貼，工作好友善,廣播媒體：正聲台北廣播電台、正聲台中廣播電臺台、正聲嘉義廣播電台、正聲高雄廣播電台、鳳鳴廣播、正聲臺北調頻廣播電台、人人廣播、竹科廣播、城市廣播、嘉樂廣播、台南知音廣播、快樂廣播、宜蘭之聲中山廣播、歡樂廣播,101,10/20-11/9,0,勞保處,勞動部,"露出次數：488
季：第四季
專案：「地方電台廣告宣導案」"
就業保險之失業給付相關宣導,平面媒體：聯合晚報,101,11/5,0,勞保處,勞動部,"露出次數：1
季：第四季
專案：「報紙宣導案」"
性別平等暨友善員工措施專題連載,平面媒體：時報周刊,101,11/2、11/9、11/16、11/23、11/30,0,福利處,勞動部,"露出次數：5
季：第四季
專案：連載計畫"
宣傳101年度台灣職場雙贏平台推動計畫，協助企業推動家庭友善措施,平面媒體：Upaper,101,11/13,廠商免費加值服務,條件處,勞動部,"露出次數：1
季：第四季"
不怕職場大野狼，教您防範有一套,廣播媒體：燕聲電台、快樂聯播網、中廣新聞網、寶島新聲、建國電台、全國電台、國聲電台、南投廣播、勝利之聲、台南之音、府城之聲,101,11/6-11/23,0,條件處,勞動部,"露出次數：418
季：第四季
專案：「政令宣導電台廣告案」(含製播)"
不怕職場大野狼，教您防範有一套,廣播媒體：正聲台北廣播電台、竹科廣播、城市廣播、港都廣播、快樂廣播,101,11/9-11/18,0,條件處,勞動部,"露出次數：44
季：第四季
專案：「地方電台廣告宣導案」"
別小看我，我也可以,廣播媒體：中廣新聞網、中廣寶島網、勝利之聲、寶島客家、全國電台、蘋果線上/正港台、府城之聲,101,11/30-12/16,0,條件處,勞動部,"露出次數：450
季：第四季
專案：「政令宣導電台廣告案」(含製播)"
調整每小時基本工資，提升時薪勞工權益,廣播媒體：台灣廣播、中廣寶島網、燕聲電台、快樂聯播網、勝利之聲、寶島客家,101,11/30-12/16,0,條件處,勞動部,"露出次數：175
季：第四季
專案：「政令宣導電台廣告案」(含製播)"
職場安全，勞工安心,廣播媒體：中廣鄉親網、中廣流行網、正聲電台、亞洲電台、建國電台、飛揚電台、中廣新聞網、大千電台、國聲電台、KISS大眾電台、蘋果線上/正港台、東部飛碟,101,11/29-12/14,0,安衛處,勞動部,"露出次數：415
季：第四季
專案：「政令宣導電台廣告案」(含製播)"
