主題,媒體,民國年,時間,金額,執行單位,行政部會,備註
101年度原住民族綜合發展基金業務宣傳,中國時報,101,3月13日,575500.0,原民會,原民會,
101年度原住民族綜合發展基金業務宣傳,聯合報,101,3月14日,0.0,原民會,原民會,
101年度原住民族綜合發展基金業務宣傳,自由時報,101,3月15日,0.0,原民會,原民會,
101年度原住民族綜合發展基金業務宣傳,更生日報,101,3月13日,0.0,原民會,原民會,
101年度原住民族綜合發展基金業務宣傳,臺灣新生報,101,3月16日,0.0,原民會,原民會,
101年度原住民族綜合發展基金業務宣傳,蘋果日報,101,3月19日,0.0,原民會,原民會,
原住民族觀光產業相關主題介紹,Travel in Taiwan,101,5-6月,96000.0,原民會,原民會,
2012南島民族國際會議,人績論辯月刊,101,10月、11月、12月,300300.0,原民會,原民會,
2012南島民族國際會議,能力雜誌,101,10月,0.0,原民會,原民會,
2012南島民族國際會議,全球中央雜誌,101,10月,0.0,原民會,原民會,
2012南島民族國際會議,台灣立報,101,11月26日、28 日,0.0,原民會,原民會,
2012南島民族國際會議,中國時報,101,12月1日、5 日,0.0,原民會,原民會,
2012南島民族國際會議,台灣新生報,101,12月6 日,0.0,原民會,原民會,
2012南島民族國際會議,更生日報,101,12月3 日,0.0,原民會,原民會,
宣導補辦增劃編文化保留地業務延長受理103年底（電視跑馬燈）,洄瀾有線電視,102,1月18日-1月29日,92500.0,原民會,原民會,
宣導補辦增劃編文化保留地業務延長受理103年底（電視跑馬燈）,東台有線電視,102,1月18日-1月29日,0.0,原民會,原民會,
補辦增劃編文化保留地實施計畫,洄瀾有線電視,102,2月7.9.11.13.15.17日,150220.0,原民會,原民會,
補辦增劃編文化保留地實施計畫,東台有線電視,102,2月7.9.11.13.15.17日,0.0,原民會,原民會,
補辦增劃編文化保留地實施計畫,更生日報,102,2月1日-2月17日,0.0,原民會,原民會,
歷史機遇－17世紀荷蘭文獻展,中國時報,102,5月24日、28日、6月10日、30日、7月1日、2日,50000.0,原民會,原民會,
歷史機遇－17世紀荷蘭文獻展,台灣368網站,102,5月21-6月21日、7月1-18日,0.0,原民會,原民會,
原住民族日宣傳,,102,,,原民會,原民會,
102年第二期獎助儲蓄互助社辦理原住民生活週轉金貸款計畫,統傑連智傳播股份有限公司,102,8月1日-14日,99500.0,原民會,原民會,
原住民族日宣傳,台北捷運,102,8月1日-31日,1248000.0,原民會,原民會,
原住民族日宣傳,商訊文化事業股份有限公司,102,8月1日-31日,0.0,原民會,原民會,
原住民族日宣傳,廣宣揚有限公司(電視媒體播出一週),102,7月26日-8月1日,7125900.0,原民會,原民會,
原住民族日宣傳,內政部警政署警察廣播電台,102,7月19日-8月1日,0.0,原民會,原民會,
原住民族日宣傳,台北愛樂廣播股份有限公司,102,7月25日-8月31日,0.0,原民會,原民會,
原住民族日宣傳,飛碟廣播股份有限公司,102,7月26日-8月31日,0.0,原民會,原民會,
原住民族文化觀光開放資料加值應用服務建置案－APP創意競賽活動公開記者會,經濟日報,102,9月17日,150000.0,原民會,原民會,
原住民族文化觀光開放資料加值應用服務建置案－APP創意競賽活動公開記者會,非凡電視台,102,9月16、17日,0.0,原民會,原民會,
OPEN DATA玩創意原住民族部落觀光APP大賽頒獎典禮,工商時報,102,11月25日,240000.0,原民會,原民會,
OPEN DATA玩創意原住民族部落觀光APP大賽頒獎典禮,非凡電視台,102,11月25日、26日,0.0,原民會,原民會,
部落學校平面媒體宣傳計畫,遠見雜誌,102,11月,540000.0,原民會,原民會,
原來一直都在－原住民族形象廣告（泰雅族染織篇30及60秒）,廣宣揚有限公司（在中視、GTV第一台、GTV戲劇台、非凡衛星、TVBS及新聞台、JET綜合台、衛視中文台、非凡新聞、民視及新聞台、衛視體育及西片、緯來體育台、FOX體育台、探索頻道、東森新聞、三立新聞、國家地理頻道播出三週）,103,2月7日-2月28日,3480640.0,原民會,原民會,
台灣原住民族14族簡介,英文中國郵報,103,2月21日,91667.0,原民會,原民會,
鄒族祭典－戰祭,英文中國郵報,103,2月28日,91667.0,原民會,原民會,
