主題,媒體,民國年,時間,金額,執行單位,行政部會,備註
"1.升學 就業 服役 穩定達成
2.軍事事業結合第二專長，頂尖學生也要加入",平面媒體,102,"2/6-2/6, 2/9-2/9, 2/17-2/17, 2/19-2/19, 2/21-2/21, 3/1-3/1, 3/5-3/5, 3/7-3/7, 3/13-3/13, 3/20-3/20",823150.0,陸軍,國防部,"宣導計畫、政策內容：陸軍專科學校辦理102學年度招生報紙廣告
媒體執行細節：102年2月6日蘋果日報A7版(三全)
102年2月9日自由時報D5版(半十)
102年2月17日蘋果日報A6版(半十)
102年2月19日自由時報D5版(半十)
102年2月21日蘋果日報A6版(三全)
102年3月1日蘋果日報A20版(三全)
102年3月5日蘋果日報A7版(三全)
102年3月7日自由時報D5版(半十)
102年3月13日蘋果日報A6版(半十)
102年3月20日蘋果日報A8版(三全)
預算類別：公務預算
"
"1.升學 就業 服役 穩定達成
2.軍事事業結合第二專長，頂尖學生也要加入",網路媒體,102,2/18-2/18,0.0,陸軍,國防部,"宣導計畫、政策內容：nan
媒體執行細節：102年2月18日刊登MSN、PCHOME、WENEWS、中央社、中時行銷網、美商全通、噓傳媒、新浪；102年2月5日~19日刊登旺e報網站；102年2月19日刊登愛學習；102年2月刊登愛學習BANNER；102年3月4日刊登ENEWS、旺e報、美商全通、噓傳媒；102年3月5日刊登WENEWS、中時行銷網；102年3月6日~12刊登旺e報、愛學習BANNER
預算類別：公務預算
"
升學、就業、服役穩定達成,平面媒體,102,"2/1-3/22, 2/1-3/22, 1/11-3/31",547950.0,陸軍,國防部,"宣導計畫、政策內容：陸軍專科學校辦理102學年度車站招生燈箱廣告
媒體執行細節：台北車站:102年2月1日起至3月22日止
台中車站:102年2月1日起至3月22日止
高雄車站:102年1月11日起至3月31日止
預算類別：公務預算
"
一段值得挑戰的黃金歲月,平面媒體,102,1/1-1/31,98700.0,陸軍,國防部,"宣導計畫、政策內容：陸軍軍官學校辦理102學年度招生燈箱廣告
媒體執行細節：高雄捷運車站：102年1月1日起至1月31日止
預算類別：公務預算
"
海軍軍官學校招生中,口笛,102,2/2-2/2,54450.0,海軍,國防部,"宣導計畫、政策內容：海軍官校各班次招生宣導
媒體執行細節：2/2-2/3 
菁英專案活動發送參加學生
預算類別：公務預算
"
海軍軍官學校,帆布提袋,102,2/2-2/2,82500.0,海軍,國防部,"宣導計畫、政策內容：海軍官校各班次招生宣導
媒體執行細節：2/2-2/3
菁英專案活動發送參加學生
預算類別：公務預算
"
加入國軍開啟人生無限可能,平面媒體,102,2-2,11000.0,海軍,國防部,"宣導計畫、政策內容：國軍形象及國軍年度招募資訊
媒體執行細節：於2月23、24日大學博覽會南部場次配合展場活動運用文宣品，並於年度內後續大型活動時使用。
預算類別：公務預算
"
加入國軍開啟人生無限可能,平面媒體,102,"5/1-5/1, 6/1-6/1",25200.0,海軍,國防部,"宣導計畫、政策內容：國軍形象及志願士兵招募資訊
媒體執行細節：高雄鮮週報廣告刊登招生2單位
刊登5/1-5/15，加贈5/16-5/31
刊登6/1-6/15，加贈6/16-6/30
預算類別：公務預算
"
加入國軍開啟人生無限可能,廣播媒體,102,4/25-4/25,88000.0,海軍,國防部,"宣導計畫、政策內容：志願士兵招募資訊
媒體執行細節：4/25-5/31於大眾廣播電台播放100檔次口播廣告
預算類別：公務預算
"
加入國軍開啟人生無限可能,平面媒體,102,5-5,90000.0,海軍,國防部,"宣導計畫、政策內容：國軍形象及國軍年度招募資訊
媒體執行細節：玩樂誌雜誌5月刊，102年下半年配合展場設攤活動及年度內後續大型活動時使用
預算類別：公務預算
"
加入國軍開啟人生無限可能,摺頁,102,5-5,65000.0,海軍,國防部,"宣導計畫、政策內容：國軍就業班隊招募資訊及福利待遇簡介
媒體執行細節：雙面印製共5萬份，5月份完成於全年度內運用。
預算類別：公務預算
"
開啟人生無限可能,文宣品,102,5-5,93000.0,海軍,國防部,"宣導計畫、政策內容：國軍年度文宣主題
媒體執行細節：迷彩荷葉邊帽，運用於新學年度拜會學校及通路，全年度運用。
預算類別：公務預算
"
開啟人生無限可能,文宣品,102,5-5,99000.0,海軍,國防部,"宣導計畫、政策內容：國軍年度招募資訊及福利待遇
媒體執行細節：環保扇(24.5公分)，運用於全年度展場活動分送文宣品。
預算類別：公務預算
"
開啟人生無限可能,文宣品,102,5-5,85000.0,海軍,國防部,"宣導計畫、政策內容：國軍年度文宣主題
媒體執行細節：中書包，運用於全年度宣導活動分送文宣品。
預算類別：公務預算
"
"魅力迷彩
航行出狀元
壯志凌霄",文宣品,102,5-5,63000.0,海軍,國防部,"宣導計畫、政策內容：國軍年度招募班隊簡介
媒體執行細節：磁性書籤，運用於全年度宣導活動分送文宣品。
預算類別：公務預算
"
加入國軍開啟人生無限可能,文宣品,102,5-5,94500.0,海軍,國防部,"宣導計畫、政策內容：國軍年度文宣主題
媒體執行細節：增購封口夾，運於招募展場及宣導活動之文宣品，全年度運用。
預算類別：公務預算
"
加入國軍開啟人生無限可能,"文宣品
古典扇",102,5-5,99000.0,海軍,國防部,"宣導計畫、政策內容：國軍年度文宣主題及年度招募班隊資訊
媒體執行細節：運用於招募展場及宣導活動之文宣品，全年度運用。
預算類別：公務預算
"
加入國軍開啟人生無限可能,半月刊平面廣告,102,"7/1-7/1, 8/1-8/1",25200.0,海軍,國防部,"宣導計畫、政策內容：國軍形象及志願士兵招募資訊
媒體執行細節：高雄鮮週報廣告刊登招生2單位
刊登7/1~7/15，加贈7/16~7/31
刊登8/1~8/15，加贈8/16~8/30
預算類別：公務預算
"
加入國軍開啟人生無限可能,戶外帆布廣告,102,8/5-8/5,26600.0,海軍,國防部,"宣導計畫、政策內容：國軍年度文宣主題
媒體執行細節：8月5日於帆布廣告方式張貼，全年度運用。
預算類別：公務預算
"
加入國軍開啟人生無限可能,"文宣品
耳機塞",102,8/5-8/5,96000.0,海軍,國防部,"宣導計畫、政策內容：國軍年度文宣主題及年度招募班隊資訊
媒體執行細節：運用於招募展場及宣導活動之文宣品，全年度運用。
預算類別：公務預算
"
國軍專業志願士兵暨儲備士官班甄選,"紅布條
廣告",102,9-9,20500.0,海軍,國防部,"宣導計畫、政策內容：志願士兵招募資訊
媒體執行細節：9月份開始張貼於中油加油站為期1個月
預算類別：公務預算
"
加入國軍開啟人生無限可能,"文宣品
小帽",102,9-9,56000.0,海軍,國防部,"宣導計畫、政策內容：國軍年度文宣主題
媒體執行細節：運用於招募展場及宣導活動之文宣品，全年度運用。
預算類別：公務預算
"
加入國軍開啟人生無限可能,"文宣品
面紙",102,9-9,13000.0,海軍,國防部,"宣導計畫、政策內容：國軍年度文宣主題及年度招募班隊資訊
媒體執行細節：運用於招募展場及宣導活動之文宣品，全年度運用。
預算類別：公務預算
"
加入國軍開啟人生無限可能,"文宣品
摺頁",102,9-9,21000.0,海軍,國防部,"宣導計畫、政策內容：國軍年度文宣主題及年度招募班隊資訊
媒體執行細節：運用於招募展場及宣導活動之文宣摺頁，全年度運用。
預算類別：公務預算
"
海軍軍官學校,運動手環,102,02/9-02/9,60000.0,海軍,國防部,"宣導計畫、政策內容：海軍官校各班次招生宣導
媒體執行細節：102/9-103/3各地區高中學校招募及校慶宣導場次發送參加學生
預算類別：公務預算
"
海軍軍官學校,藍色帆布提袋,102,02/9-02/9,89400.0,海軍,國防部,"宣導計畫、政策內容：海軍官校各班次招生宣導
媒體執行細節：102/9-103/4各地區高中學校招募及校慶宣導場次發送參加學生
預算類別：公務預算
"
海軍軍官學校,紙磚     (便利貼),102,02/9-02/9,88000.0,海軍,國防部,"宣導計畫、政策內容：海軍官校各班次招生宣導
媒體執行細節：102/9-103/5各地區高中學校招募及校慶宣導場次發送參加學生
預算類別：公務預算
"
海軍軍官學校,A5海軍風貼紙,102,02/9-02/9,31250.0,海軍,國防部,"宣導計畫、政策內容：海軍官校各班次招生宣導
媒體執行細節：102/9-103/6各地區高中學校招募及校慶宣導場次發送參加學生
預算類別：公務預算
"
海軍軍官學校,KUSO貼紙,102,02/9-02/9,60000.0,海軍,國防部,"宣導計畫、政策內容：海軍官校各班次招生宣導
媒體執行細節：102/9-103/7各地區高中學校招募及校慶宣導場次發送參加學生
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,1/1-5/31,980000.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等召募班次宣導文宣
媒體執行細節：102.01.01~102.05.31/台鐵通勤電聯車頭版頭條廣告/90面
預算類別：公務預算
"
"選擇空軍
彩繪自己精采人生",平面媒體,102,1/1-5/31,1458750.0,空軍,國防部,"宣導計畫、政策內容：辦理年度「就學班隊」及「就業班隊」等召募班次宣導文宣
媒體執行細節：102.01.01~102.05.31/新北市公車候車亭廣告/9座
預算類別：公務預算
"
