主題,媒體,民國年,時間,金額,執行單位,行政部會,備註
宣導第六屆全國法規資料庫競賽活動,平面媒體,102,1.102年8月20日刊登聯合報彩色版半十版面,131800,資訊處,法務部,"次數: 1則
對象: 一般民眾"
宣導第六屆全國法規資料庫競賽活動,平面媒體,102,2.102年8月22日刊登Upaper半版廣告,65000,資訊處,法務部,"次數: 1則
對象: 一般民眾"
宣導第六屆全國法規資料庫競賽活動,平面媒體,102,3.102年9月份(347期)刊登聯合文學單頁廣告1頁,80000,資訊處,法務部,"次數: 1則
對象: 一般民眾"
宣導第六屆全國法規資料庫競賽活動,平面媒體,102,4.102年9月9日刊登好讀週報半版廣告,50000,資訊處,法務部,"次數: 1則
對象: 一般民眾"
宣導第六屆全國法規資料庫競賽活動,平面媒體,102,5.102年9月30日刊登好讀週報半版廣告,50000,資訊處,法務部,"次數: 1則
對象: 一般民眾"
宣導第六屆全國法規資料庫競賽活動, 網路媒體,102,1.102年8月20日起facebook粉絲團,免費架站,資訊處,法務部,"次數: 1則
對象: 一般民眾"
宣導第六屆全國法規資料庫競賽活動, 網路媒體,102,2.102年8月22日至9月20日FB活動-揪團挑戰(好康挖挖挖平台),17950,資訊處,法務部,"次數: 1式
對象: 國中及高中職學生"
宣導第六屆全國法規資料庫競賽活動, 網路媒體,102,3.102年8月22日至9月20日FB活動-分享送好禮(發燒網平台),6000,資訊處,法務部,"次數: 1式
對象: 一般民眾"
宣導第六屆全國法規資料庫競賽活動, 網路媒體,102,4.102年8月20日至9月19日Yahoo奇摩關鍵字廣告,131800,資訊處,法務部,"次數: 1式
對象: 一般民眾"
宣導第六屆全國法規資料庫競賽活動, 網路媒體,102,5.102年8月20日至10月20日udn.com banner廣告,131800,資訊處,法務部,"次數: 1式
對象: 一般民眾"
宣導第六屆全國法規資料庫競賽活動, 網路媒體,102,6.102年8月23日至10月20日Google 聯播網圖像型廣告,131800,資訊處,法務部,"次數: 1式
對象: 一般民眾"
宣導第六屆全國法規資料庫競賽活動, 網路媒體,102,7.102年9月14日至10月20日Facebook側邊廣告,131800,資訊處,法務部,"次數: 1式
對象: 一般民眾"
宣導第六屆全國法規資料庫競賽活動,廣播媒體,102,1.102年8月20日至9月2日HITFM聯播網,43930,資訊處,法務部,"次數: 120檔
對象: 一般民眾"
宣導第六屆全國法規資料庫競賽活動,電視媒體,102,1.102年8月24日至8月25日東森洋片台廣告字卡,100000,資訊處,法務部,"次數: 10檔
對象: 一般民眾"
