主題,媒體,民國年,時間,金額,執行單位,行政部會,備註
反賄選宣導車體廣告,平面廣告,101,100年11月至101年1月13日,35235,臺北地方法院檢察署,法務部,"次數: 張貼本署公務車輛共8部
對象: 一般民眾"
反賄選宣導文宣文具用品,平面廣告,101,100年11月至101年1月13日,99600,臺北地方法院檢察署,法務部,"次數: 各項宣導活動場合
對象: 一般民眾"
反賄選宣導銅質書籤,平面廣告,101,100年11月至101年1月13日,95000,臺北地方法院檢察署,法務部,"次數: 各項宣導活動場合
對象: 一般民眾"
反賄選宣導Ｌ夾及反賄行動樹,平面廣告,101,100年11月至101年1月13日,70165,臺北地方法院檢察署,法務部,"次數: 各項宣導活動場合
對象: 一般民眾"
透過刊登於官方或非官方英文雜誌方式，向國際行銷本署廉政形象。,平面媒體,101,"1.臺北市歐洲商會Euroview第141期(101年 4月/5月)刊登標題「Rooting out corruption in Taiwan」。（NT$82000）
2.台灣光華雜誌101年5月第37卷第5期，刊登標題為「防貪A計畫-廉政署長周志榮專訪」。(免費）",82000,廉政署,法務部,"次數: 2
對象: 外商及一般民眾"
本署「廉能．透明．向前跑」反貪倡廉社會參與系列活動報紙廣告購買,平面媒體,101,"
101年06月28日刊登U-PAPER半十版面",12500,廉政署,法務部,"次數: 1次
對象: 一般民眾"
文宣夾（遇有外賓或貴賓時親自發送）,平面媒體,101,"101年4月印製文宣夾，配合文宣內容發送。

",42000,廉政署,法務部,"次數: 2000
對象:  外賓或貴賓"
透過刊登英文電子報方式，向國際行銷本署廉政形象。,網路媒體,101,"1.101年3月25日刊登前行政院新聞局「今日臺灣」（Taiwan Today）英文電子報，標題為「AAC heads Taiwan’s fight for clean government」。
2.臺灣透明組織101年4月電子報刊登「廉政，讓我們起而行！」",0,廉政署,法務部,"次數: 2
對象: 一般民眾"
本署「廉能．透明．向前跑」反貪倡廉社會參與系列活動網路媒體購買,網路媒體,101,"1.101年6月15日跑者BLOG宣傳
2.101年6月23-24日 FB、PPT、論壇宣傳",4000,廉政署,法務部,"次數: 10則
對象: 一般民眾"
本署「廉能．透明．向前跑」反貪倡廉社會參與系列活動廣播媒體購買,廣播媒體,101,1.101/06/26-06/30臺北流行音樂電臺廣播,43428,廉政署,法務部,"次數: 57檔
對象: 一般民眾"
宣導第五屆全國法規資料庫競賽活動,平面媒體,101,1.101/08/29刊登聯合報彩色版半十版面,60000,資訊處,法務部,"次數: 1
對象: 一般民眾"
宣導第五屆全國法規資料庫競賽活動,平面媒體,101,2.少年牛頓雜誌2012年8月號,活動協辦單位公益刊登,資訊處,法務部,"次數: 1
對象: 訂閱用戶"
宣導第五屆全國法規資料庫競賽活動,廣播媒體,101,1.101年9月3日至101年9月16日好事聯播網,45000,資訊處,法務部,"次數: 100檔
對象: 一般民眾"
宣導第五屆全國法規資料庫競賽活動,廣播媒體,101,2.101年8月10日至101年9月10日全景社區廣播電台股份有限公司等47家,委請行政院發言人辦公室辦理公益托播,資訊處,法務部,"次數: 3,814檔
對象: 一般民眾"
宣導第五屆全國法規資料庫競賽活動,廣播媒體,101,3.101年8月2日至101年9月30日教育廣播電臺,活動協辦單位公益托播,資訊處,法務部,"次數: 118檔
對象: 一般民眾"
結合未來少年月刊辦理「反毒小學堂」網路有獎徵答活動,平面媒體,101,101年9月,98000,保護司法治宣教科,法務部,"次數: 1次
對象: 青少年、家長"
宣導第五屆全國法規資料庫競賽活動,廣播媒體,101,3.101年10月1日至101年10月25日教育廣播電臺,活動協辦單位公益托播,資訊處,法務部,"次數: 50檔
對象: 一般民眾"
反毒教育宣導,平面媒體,102,"1.5/30第一集【向陌生邀約說不】
2.6/13第二集【注意!危機現身】
3.6/27第三集【只要友誼，不要毒】
4.7/11第四集【發現毒品怎麼辦?】
5.7/25第五集【毒品是殺手 一次都別碰】
6.8/8第六集【年輕不留毒，濫用藥物也很毒】
7.8/22第七集【迷信仙丹恐傷身】
8.9/12第八集【金臂貓的秘密】
9.9/26第九集【迷失的棒球隊長】
10.10/10第十集【重返投手丘的光榮之路】
11.10/24第十一集【知己知彼，作拒毒勇士】
12.11/14第十二集【惡魔貓的反省】
13.11/28第十三集【反毒小天使的誕生】",300300,保護司法治宣教科,法務部,"次數: 13次
對象: 國中小學生及家長"
反毒教育宣導,電視媒體,102,"102.8.22~26
三立都會、衛視、中天、FOX娛樂、東森電影、東森戲劇、緯來戲劇、三立台灣、緯來育樂、緯來體育、民視、ESPN、緯來電影、MTV
102.9.20~23
東森戲劇、MTV、東森新聞、ESPN、TVBS、民視新聞、三立都會、FOX娛樂、緯來、民視、東森電影、中天、緯來戲劇、衞視電影、衛視西片
102.9.20~29
FOX娛樂、MTV、三立都會、東森、緯來、TVBS、ESPN、民視新聞、民視、東森戲劇、緯來電影、衛視西片、中天、東森電影洋片、緯來戲劇、三立台灣",1912000,保護司法治宣教科,法務部,"次數: 1,058檔
對象: 一般民眾"
