主題,媒體,民國年,時間,金額,執行單位,行政部會,備註
農村再生－我們攜手打造幸福農村,"報紙
(中時、聯合)",101,1月,335000.0,農委會,農委會,
老農津貼調漲/農村再生宣導(輪播),"30秒電視廣告
(地方有線頻道)",101,1月,0.0,農委會,農委會,
老農津貼調漲宣導,"30秒廣播廣告
(地區頻道)",101,1月,0.0,農委會,農委會,
農委會首頁網站連結,自立晚報電子報網頁刊登橫幅廣告(Banner),101,1月~12月,50000.0,農委會,農委會,
食品安全宣導,"報紙
(中時)",101,4月,160000.0,農委會,農委會,
優質平價豬肉促銷宣導,報紙(聯晚、聯合、中華、旺報),101,4月-5月,287000.0,農委會,農委會,
國產花卉宣導　,報紙(蘋果、聯晚、民眾),101,5月,269000.0,農委會,農委會,
2012國產牛肉嘉年華會,報紙(聯晚、台時),101,5月,73000.0,農委會,農委會,
台灣花卉進軍荷蘭花博,報紙(旺報),101,5月,25000.0,農委會,農委會,
2012世界海洋日特展,報紙(中時、旺報),101,5月,185000.0,農委會,農委會,
2012大專生洄游計畫,報紙(聯晚、台時),101,5月,73000.0,農委會,農委會,
動物保護-忠犬小八,30秒電視廣告,101,5月,1764743.0,農委會,農委會,
國產豬肉+台灣好牛,"30秒廣播廣告
(全國網、地區頻道)",101,5月,879306.0,農委會,農委會,
"1.第三屆科技農企業經營管理菁英班招生
2.漁業署提醒養殖漁民5月底前申報放養量","30秒廣播廣告
(全國網、地區頻道)",101,5月,0.0,農委會,農委會,
國產豬肉、台灣好牛、康乃馨花卉行銷、5月份持續補貼農機用油、臺灣農產品外銷雙讚：石斑魚成長40%，蝴蝶蘭可望破億美元等主題,廣播10秒整點報時、1分鐘單元規劃,101,5月,140386.0,農委會,農委會,
西瓜節+台灣蘭展,"報紙,雜誌消息稿",101,5月,0.0,農委會,農委會,
政府把關您免驚，台灣農產品安心呷系列網路短片,Youtube、Facebook露出,101,5月,0.0,農委會,農委會,
政府把關您免驚，台灣農產品安心呷系列網路短片,網路短片製作等20支,101,4~5月,640200.0,農委會,農委會,
農民學院、田邊好幫手、台灣農產品安全追溯、TAP產銷履歷農產品、CAS台灣有機農產品、CAS台灣優良農產品、吉園圃,網路媒體-Yahoo奇摩-黃金組合+關鍵字,101,5月,355990.0,農委會,農委會,
