主題,媒體,民國年,時間,金額,執行單位,行政部會,備註
"2013跟著食材享樂趣
吃當季 遊在地
",雜誌(天下),102,4月3日~16日,445974.0,農委會,農委會,
山坡地獎勵造林: 造林護士美台灣,報紙(自由、聯合、中華、更生),102,4月9、10、11日,451050.0,農委會,農委會,
「鮮享在地」全國便當王創意料理大賽,報紙(爽報、民眾、蘋果),102,4月8日、4月14日,364966.0,農委會,農委會,
「鮮享在地」全國便當王創意料理大賽,廣播(口播),102,4月11日~15日,0.0,農委會,農委會,
請勿隨意購買海洋哺乳類野生動物產製品,報紙(自由、聯合、聯晚),102,5月2、3日；6月29日,379000.0,農委會,農委會,
請勿隨意購買海洋哺乳類野生動物產製品,雜誌(遠見、科學人、空中英語教室),102,5~6月,278820.0,農委會,農委會,
請勿隨意購買海洋哺乳類野生動物產製品,廣播(30秒廣播素材製作、好事聯播網、中小功率電台),102,5月,145930.0,農委會,農委會,
防範禽流感,"廣播(微微笑、鄉親大聯盟、台北大樹下、新農、苗栗客家、南投山城、彰化關懷、濁水溪、北回之聲、新營之聲、金台灣、鄉土之聲、鄉親、希望之聲、台東之聲等)
",102,5月,286800.0,農委會,農委會,
防範禽流感,報紙(中時),102,4月,147000.0,農委會,農委會,
傳統市場禁宰活禽政策,報紙(中時、自由、聯合、蘋果、聯晚、自由-雲嘉南、自由-高屏、臺時、更生、中華),102,5~6月,2355090.0,農委會,農委會,
傳統市場禁宰活禽政策,電視(年代、東森、中天、三立、TVBS、民視、八大、華視、中視、台視等),102,5~6月,7373400.0,農委會,農委會,
傳統市場禁宰活禽政策,雜誌(壹週刊、商業週刊、豐年雜誌),102,5~6月,288248.0,農委會,農委會,
傳統市場禁宰活禽政策,廣播(60秒廣播素材製作、中部三雄組合、新農民聯盟、中臺灣之聲、南臺灣之聲、台北大樹下、新農、苗栗客家、南投山城、彰化關懷、濁水溪、北回之聲、新營之聲、金台灣、鄉土之聲、鄉親、希望之聲、台東之聲等),102,5~6月,161666.0,農委會,農委會,
傳統市場禁宰活禽政策,網路(60-300秒網路短片製作、Yam-影音套裝特別企劃、ETToday組合、NOWnews組合、Google關鍵字+廣告聯播組合2次、Youtube影片推薦),102,5~6月,896234.0,農委會,農委會,
農田水利會表揚,報紙(平面媒體消息稿),102,6月,0.0,農委會,農委會,
農企業經營管理班招生,報紙(平面媒體消息稿),102,6月,0.0,農委會,農委會,
科技產業好點子,雜誌(平面媒體消息稿),102,6月,0.0,農委會,農委會,
農村地圖隨手印,報紙(中華日報特刊內頁廣告),102,6月,40200.0,農委會,農委會,
全民農業廣播媒體宣導: 1.寵物登記宣導、2.收容動物等待您來認養、3.產銷履歷農產品、5.汛期即將來臨，請農友作好防災整備工作、6.小地主大佃農-青年從農接棒，台灣農業好棒、7.活化休耕地-契作硬質玉米申報推廣、9.讓我們共享美麗星球、10.請確實購買及落實口蹄疫疫苗注射、11.防範禽流感、12.禁宰活禽宣導、13.台灣地方特色招牌飯票選活動,廣播(警察廣播電台),102,4~6月,352000.0,農委會,農委會,
土石流防災宣導,電視(東森、衛視、非凡、八大等),102,6月,1974800.0,農委會,農委會,
水土保持及農村再生作文繪畫競賽、教材教案徵選,報紙(中時、聯合),102,6月19、20、24日,464000.0,農委會,農委會,
水土保持及農村再生作文繪畫競賽、教材教案徵選,報紙(聯晚、自由、聯合),102,6月25~27日,457750.0,農委會,農委會,
水土保持及農村再生作文繪畫競賽、教材教案徵選,電視(東森、JET、緯來、東風等),102,6月26~30日,250800.0,農委會,農委會,
在地招牌飯徵選,報紙(聯晚、自由、聯合),102,6月25~27日,457750.0,農委會,農委會,
在地招牌飯徵選,電視(東森、JET、緯來、東風等),102,6月26~30日,250800.0,農委會,農委會,
在地招牌飯徵選,網路(Google聯播網Banner及關鍵字、Youtube影片推薦、FacebooK),102,6月26~30日,57750.0,農委會,農委會,
2013年台灣國產豬肉促銷-豬肉盃  千人餃力大賽,電視(華視、東森),102,4月,61500.0,農委會,農委會,
102年5月水土保持月系列活動,報紙(聯合報),102,5月,327750.0,水保局,農委會,
102年5月水土保持月系列活動,雜誌(主計月刊、商業周刊),102,5月,146000.0,水保局,農委會,
102年5月水土保持月系列活動,廣播(警察廣播電台),102,5月,20417.0,水保局,農委會,
土石流防災教育宣導,報紙(玉山新聞報),102,6月,30000.0,水保局,農委會,
第三屆大專生洄游農村競賽,雜誌(主計月刊),102,4月,8400.0,水保局,農委會,
第三屆大專生洄游農村競賽,廣播(警察廣播電台),102,4月,20417.0,水保局,農委會,
102年水土保持及農村再生教育-作文繪畫比賽,雜誌(主計月刊),102,6月,8400.0,水保局,農委會,
102年水土保持及農村再生教育-作文繪畫比賽,廣播(警察廣播電台),102,6月,20417.0,水保局,農委會,
 102年水土保持及農村再生教育-教材教案設計比賽,雜誌(張老師月刊),102,6月,98500.0,水保局,農委會,
 102年水土保持及農村再生教育-教材教案設計比賽,廣播(警察廣播電台),102,6月,20417.0,水保局,農委會,
農村社區窳陋空間改善競賽,廣播(警察廣播電台),102,6月,20417.0,水保局,農委會,
"農村社區活動宣導
(1)富源再生多元活化「楊梅季 羊來了ㄇㄟˊ」活動
(2)鹿野永安社區午時水活動",電視(東臺有限電視),102,5月,2000.0,水保局,農委會,
"農村社區活動宣導
(1)富源再生多元活化「楊梅季 羊來了ㄇㄟˊ」活動
(2)鹿野永安社區午時水活動",廣播(中廣新聞網AM819、鄉親網AM1008),102,6月,4200.0,水保局,農委會,
防範森林火災宣導,報紙(中華日報),102,3月16日~22日,8000.0,林務局,農委會,
防範森林火災宣導,雜誌(主計月刊),102,4月,8300.0,林務局,農委會,
防範森林火災宣導,廣播（警察、嘉樂、中國、飛碟、大寶桑）,102,1~3月,112000.0,林務局,農委會,
防範森林火災宣導,電視（世新）,102,1~3月,65250.0,林務局,農委會,
防範森林火災宣導,網路(台東所在、社群網路-Facebook粉絲團),102,3月,13000.0,林務局,農委會,
自然生態保育宣導,雜誌(主計月刊),102,6月,8300.0,林務局,農委會,
植樹造林綠美化宣導,雜誌(主計月刊),102,5月,8300.0,林務局,農委會,
國家森林遊樂區及平地森林園區宣導,報紙(聯合報、更生日報、中國時報、東方報),102,2~4月,286000.0,林務局,農委會,
國家森林遊樂區及平地森林園區宣導,廣播(中國、好事聯播網、蓮花電台),102,2~4月,99000.0,林務局,農委會,
林業相關宣導,網路(今日新聞網、中晨新聞網),102,4~6月,11949.0,林務局,農委會,
林業相關宣導,廣播(正聲),102,4~6月,30000.0,林務局,農委會,
農信保專為農漁民及農企業作保,雜誌(新漁業雜誌、中國畜牧雜誌、中國畜牧雜誌),102,4~6月,46500.0,財團法人農業信用保證基金,農委會,
農信保相挺-青年返鄉從農收入破百萬,雜誌(農訓),102,5月,30000.0,財團法人農業信用保證基金,農委會,
從國會下鄉-陳杰為農漁民貸款掛保證,雜誌(時報周刊),102,5月,26000.0,財團法人農業信用保證基金,農委會,
農信保協助青年返鄉工作-拈花惹草 紅到日本,雜誌(時報周刊),102,6月,26000.0,財團法人農業信用保證基金,農委會,
農信保協助青年返鄉務農-棄百萬年薪種筊白筍,雜誌(時報周刊),102,6月,26000.0,財團法人農業信用保證基金,農委會,
農信保是農漁民的好朋友,廣播(中廣、每日、建國、神農、民立),102,5~6月,116250.0,財團法人農業信用保證基金,農委會,
農糧政策宣導,網路(自立晚報電子報),102,4~6月,15000.0,農糧署,農委會,
北區分署農糧政策宣導,廣播(正聲調頻台FM104.1、正聲調幅台AM819、桃園先聲電台AM774、苗栗正義電台FM88.9),102,4~6月,148750.0,農糧署,農委會,
中區分署農糧政策宣導,廣播(正聲台中一台AM990、台中二台AM657、雲林台AM1125、北港台AM675 ),102,4~6月,173750.0,農糧署,農委會,
南區分署農糧政策宣導,廣播(正聲嘉義縣市AM855、臺南市AM1260、高雄市AM1008、屏東縣AM1395、澎湖縣FM89.9),102,4~6月,145000.0,農糧署,農委會,
